,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,Rand
30144,6mUHPv34FUMhYVlpytiwdp,Avicii,Weekend Baby,Wake Me Up - Radio Edit,0,246813,FALSE,0.524,0.807,2,-4.16,1,0.0579,0.00415,0.000834,0.212,0.62,124.127,4,edm,0.203267793
108963,4boybCKhocy3B8HlA9tiFe,Astor Piazzolla;Nora Lee García;Rene Izquierdo,Cubatina,Histoire du tango: III. Nightclub 1960,16,335586,FALSE,0.368,0.154,2,-16.568,1,0.0468,0.955,0.925,0.113,0.295,83.158,5,tango,0.531400756
78425,52eqBJDEx57uQSVtSUp5TS,Tobee,Überdosis Glück,Eine Weiße Rose,30,215509,FALSE,0.632,0.999,0,-3.413,1,0.0431,0.00887,0,0.256,0.935,139.988,4,party,0.163029893
64640,6WR1FDn5HIuKtV2k5rFKMw,Jamie Cullum,pov: you saw mommy kissing santa claus,So Many Santas,0,208413,FALSE,0.508,0.706,1,-6.294,1,0.0475,0.15,0,0.376,0.479,114.842,4,jazz,0.319575237
12791,0bFCMD0K7sxkz4qYWjP2Qu,George Lam;David Ling Jr,林子祥 24K Mastersonic Compilation,追憶,19,220000,FALSE,0.54,0.267,10,-11.638,1,0.0278,0.91,3.79E-05,0.0914,0.291,100.842,4,cantopop,0.607496459
112926,1SOOrc0raVGiP5Wv2cc8uP,Şanışer;Sehabe,Otuzuncu Gün,Aşılmaz Yollar,38,256000,FALSE,0.559,0.746,4,-3.716,0,0.0501,0.346,0.000118,0.21,0.342,119.994,4,turkish,0.511310139
53328,6KfqrM6To2CjbXqJN3Pulw,Felix Jaehn;Robin Schulz;Georgia Ku,Night Drive Autumn/Winter 2022/23,I Got A Feeling,0,144734,FALSE,0.598,0.833,2,-3.716,0,0.048,0.0196,0,0.292,0.406,124.973,4,house,0.154958201
97811,57WRIZhuHj7onrNEpuTEcD,Matheus & Kauan,Na Praia 2 (Ao Vivo),Papel Amassado - Ao Vivo,45,160868,FALSE,0.587,0.626,0,-5.54,1,0.0303,0.338,0,0.255,0.488,95.9,4,sertanejo,0.636934263
22639,6aTxXPFOGzCHzVaN7rn1tH,Misery Signals,Post-Millennial Noise,The Failsafe,0,321880,FALSE,0.262,0.957,10,-4.543,1,0.102,0.0227,0.415,0.211,0.0405,114.814,3,death-metal,0.488028283
62132,2IugoBCcRqIfBdqxwLlNrX,Fetty Wap;Remy Boyz,Gaming Songs 2022: Hard Mode,679,0,196693,TRUE,0.618,0.717,7,-5.737,1,0.318,0.00256,0,0.625,0.603,190.046,4,j-pop,0.082679359
100257,555f0RSOl18sRTYXAfiNvy,Danne Stråhed;Wizex,Drängavisan,Tågresan,39,157733,FALSE,0.535,0.925,0,-5.278,1,0.0489,0.184,0,0.264,0.97,160.204,4,ska,0.909345524
90700,6x8xIapc9xcZlJ9HpCkrm9,Bobby Vinton,16 Most Requested Songs,Mr. Lonely,45,160066,FALSE,0.37,0.185,4,-14.335,1,0.028,0.804,1.35E-06,0.288,0.31,84.392,3,rock-n-roll,0.335454331
46490,4EsCqfOiFMmrSeJY4sHiqg,Scooter,The Stadium Techno Experience,The Night,20,202906,FALSE,0.52,0.948,8,-5.242,0,0.0344,0.00424,0.00975,0.918,0.478,142.984,4,happy,0.384162016
32084,10AsRVRdU07cMAFHeGYO3c,Martin Jensen,Solo Dance,Solo Dance,69,174933,FALSE,0.746,0.846,9,-2.432,1,0.048,0.0485,0,0.195,0.403,114.955,4,electronic,0.276939043
19827,7KFDQGhs0YtDCjmoayP48I,Riley Green,Bury Me In Dixie,Trouble With You,42,168673,FALSE,0.764,0.646,6,-6.919,1,0.0403,0.254,0,0.113,0.434,96.041,4,country,0.069278572
37976,3tE5YyZdaQrPlIRtcybzA6,Dreysson Rodrigues;MC Gui Andrade;DJ Léo BQ,Mega Funk É Sempre Assim,Mega Funk É Sempre Assim - REMIX,43,136330,FALSE,0.95,0.476,10,-8.381,0,0.108,0.0109,0,0.0932,0.331,124.036,4,funk,0.709520297
36691,6LJ9ERF6iox8Zp1SeKEDYL,Ben Mazué,Paradis (réédition),Les jours heureux,32,183440,FALSE,0.734,0.49,9,-10.726,0,0.126,0.838,3.37E-05,0.238,0.722,115.007,4,french,0.763693772
21815,0sF7vqR0wz97JopXaiGBPG,Mwuana,Triller,La La La (Go Bromsten),28,209946,TRUE,0.494,0.672,5,-5.961,0,0.289,0.156,0,0.133,0.585,170.71,4,dancehall,0.541048598
86910,50oS45iNMFp7pKIQRAWIUP,All Time Low,Future Hearts,Kids In The Dark,60,216689,FALSE,0.519,0.981,1,-3.472,0,0.0733,0.00137,0.000164,0.0903,0.765,130.043,4,punk,0.883485924
38428,6eD0oAyhF9DmUYDQbQN7Su,The Spaceshits,Misbehavin',I'm in Love,28,90213,FALSE,0.457,0.994,4,-4.396,1,0.0877,0.173,0.938,0.345,0.728,132.156,4,garage,0.39967159
3537,0ivAXyBo7oud7Xkffq4aLG,Royal Blood,Here to Forever - All New Indie,Trouble's Coming,0,228400,FALSE,0.767,0.694,1,-5.059,0,0.0384,0.0629,0,0.32,0.78,112.012,4,alternative,0.029162977
41993,32iUMk2C5wVPNPBEZpIC3T,The Leather Nun,Force Of Habit (30th Anniversary Edition),Gimme! Gimme! Gimme! (A Man After Midnight),21,228510,FALSE,0.371,0.894,7,-7.437,1,0.044,4.44E-05,0.000196,0.152,0.292,128.465,4,goth,0.417282428
26266,1RZ2w0jGUKpyt3JRvKXCq6,SHIKI THEATRE COMPANY,ディズニー 『アナと雪の女王』 ミュージカル <劇団四季> (オリジナル・サウンドトラック),生まれて初めて,25,251253,FALSE,0.346,0.435,6,-6.072,1,0.0358,0.646,0,0.316,0.322,85.638,3,disney,0.045321451
95760,1fJJYGQfj1u5YDGWiPfaXP,Luisito Ayala Y La Puerto Rican Power,Veranazo Vol. 2,Tu Cariñito,28,251466,FALSE,0.769,0.942,5,-5.025,0,0.037,0.326,1.03E-06,0.0309,0.929,93.721,4,salsa,0.413388836
106906,0Fc9QSMX6fgEBgDjUax7t7,Zara Larsson;Steve James,Ruin My Life (Remixes),Ruin My Life - Steve James Remix,55,177096,TRUE,0.723,0.837,11,-6.487,1,0.0389,0.0103,0.000477,0.0834,0.643,123.952,4,swedish,0.564392632
97487,5FUjfsA4QAi24S1EC1y3Go,Bruno & Marrone,Bruno & Marrone Ao Vivo em Goiânia,Por um Gole a Mais - Ao Vivo,47,231360,FALSE,0.415,0.739,7,-4.44,1,0.0472,0.683,1.29E-06,0.958,0.322,73.119,4,sertanejo,0.683910808
105642,2sM2ATttb7TVtIAD2VMJrl,Synkop,street beats,can control,9,91436,FALSE,0.707,0.356,11,-8.966,0,0.0641,0.593,0.778,0.0974,0.534,168.01,4,study,0.177201135
87624,71j7pKCwVoXQX2U2addBn8,Valentín Elizalde,En Busca Del Amor,En Busca Del Amor,43,163626,FALSE,0.677,0.438,1,-6.421,1,0.0349,0.615,1.31E-06,0.236,0.738,130.571,4,r-n-b,0.030017871
77088,0xTt4ZNGExjOuzHKVHr0zN,Turma do Pagode;Péricles;Chrigor,Desliga e Vem / Gamei / Gandaia (feat. Péricles & Chrigor) [Ao Vivo],Desliga e Vem / Gamei / Gandaia (feat. Péricles & Chrigor) - Ao Vivo,54,360269,FALSE,0.332,0.745,11,-6.511,0,0.0438,0.729,0,0.961,0.793,80.024,4,pagode,0.482421622
8985,3jXsEA9Gyo7QDyho6YoQ6S,Eric Burdon,The Curse Of Hobbes House The Ultimate Fantasy Playlist,We Gotta Get Out Of This Place,0,208693,FALSE,0.585,0.633,7,-8.007,1,0.0338,0.521,0,0.101,0.781,135.111,4,blues,0.503036461
79101,38UDoZyudPWXLzXRAb71oP,Elton John;Charlie Puth,After All,After All,57,208714,FALSE,0.501,0.556,5,-5.628,1,0.0266,0.361,0.000133,0.115,0.165,82.017,4,piano,0.997728629
76152,1U1NkDoPpCSEX1T6ZMWX04,Celtic Woman,A New Journey,Scarborough Fair,52,192973,FALSE,0.247,0.233,10,-13.611,1,0.0366,0.914,2.49E-05,0.379,0.102,123.097,3,opera,0.992152674
63698,4JXPO6PtSI06MnrjQqF5on,Zeki Müren,Saklı Kayıtlar (1952 - 1984),Ben Seni Unutmak İçin Sevmedim,35,226360,FALSE,0.263,0.589,10,-5.222,1,0.0507,0.807,0.00479,0.143,0.24,67.053,3,j-rock,0.009086981
92172,2j8bXaOBeEeyoY4ZpCcFIW,Shakin' Stevens,Shaky,You Drive Me Crazy,58,171720,FALSE,0.754,0.927,5,-2.597,1,0.0313,0.173,3.22E-06,0.307,0.975,119.494,4,rockabilly,0.7144063
82518,2oJeOK86g6rG3ni3KWJ33U,The Godfathers,"The Best Of The Godfathers: Birth, School, Work, Death",She Gives Me Love,22,232440,FALSE,0.45,0.814,9,-8.855,1,0.0503,0.00043,0.0051,0.0633,0.561,140.143,4,power-pop,0.166457401
